sensorId,lat,lon,boxName,boxId,unit,temperatur_2018-10-21T22Z,temperatur_2018-10-21T23Z,temperatur_2018-10-22T00Z,temperatur_2018-10-22T01Z,temperatur_2018-10-22T02Z,temperatur_2018-10-22T03Z,temperatur_2018-10-22T04Z,temperatur_2018-10-22T05Z,temperatur_2018-10-22T06Z,temperatur_2018-10-22T07Z,temperatur_2018-10-22T08Z,temperatur_2018-10-22T09Z,temperatur_2018-10-22T10Z,temperatur_2018-10-22T11Z,temperatur_2018-10-22T12Z,temperatur_2018-10-22T13Z,temperatur_2018-10-22T14Z,temperatur_2018-10-22T15Z,temperatur_2018-10-22T16Z,temperatur_2018-10-22T17Z,temperatur_2018-10-22T18Z,temperatur_2018-10-22T19Z,temperatur_2018-10-22T20Z,temperatur_2018-10-22T21Z,temperatur_2018-10-22T22Z,temperatur_2018-10-22T23Z
56957f3ab3de1fe0052532e0,51.957090029248754,7.640642523765564,WG Wolbecker Str.,56957f3ab3de1fe0052532da,°C,15.415144927536232,15.337391304347825,15.010875912408757,14.719710144927536,14.796086956521739,14.721313868613139,15.27710144927536,15.383188405797103,15.054598540145985,14.52108695652174,14.97768115942029,17.872846715328468,22.92391304347826,21.41413043478261,20.236350364963503,19.901884057971014,18.814963503649636,17.883985507246376,17.044420289855072,15.696861313868611,15.420217391304346,14.702028985507248,13.46970802919708,12.613333333333333,11.604710144927537,10.784233576642336
57000b8745fd40c8196ad052,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,°C,11.638333333333334,12.023333333333333,12.278461538461539,11.685833333333333,11.960909090909091,12.273333333333333,12.375833333333333,12.473333333333334,11.972499999999998,12.054615384615385,11.969166666666666,12.999166666666667,14.253636363636362,14.7525,14.6975,14.75923076923077,14.561666666666667,13.810833333333333,12.729999999999999,11.660833333333334,11.614166666666668,10.814615384615385,10.054166666666667,9.568333333333333,9.150833333333333,8.4925
570bad2b45fd40c8197f13a8,51.974581,7.607807,Balkon Gasselstiege,570bad2b45fd40c8197f13a2,°C,12.255423728813557,12.359830508474577,12.466551724137933,11.695333333333334,11.900508474576272,12.148305084745763,12.282711864406778,12.4245,12.31542372881356,12.311694915254238,12.518666666666666,17.903728813559322,22.600508474576273,20.034406779661015,17.607333333333333,17.815423728813556,16.751694915254237,15.267333333333333,13.306610169491526,12.281525423728814,11.962372881355932,9.973666666666666,8.364237288135593,7.41728813559322,6.7395000000000005,6.281864406779661
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,°C,13.638833333333334,14.004333333333333,13.555,13.815084745762713,13.900666666666666,13.731833333333332,14.295666666666667,14.273166666666667,13.934166666666666,13.485000000000001,13.7095,17.43983606557377,21.810666666666666,20.517666666666667,19.341,19.791999999999998,18.290666666666667,16.550833333333333,15.618,14.213,14.088833333333334,13.373166666666666,12.799166666666668,11.872833333333334,10.936666666666667,10.140333333333333
58932c89d038b000102f7d3a,52.001647,7.614025,KiTa Glühwürmchen,58932c89d038b000102f7d35,°C,10.909423076923076,11.224716981132074,11.361153846153845,10.370000000000001,10.663846153846153,11.168846153846154,11.422075471698113,11.65576923076923,11.679615384615385,12.009811320754716,12.264423076923077,13.02903846153846,13.857358490566039,14.6975,14.676037735849057,14.079615384615384,13.926153846153845,12.606603773584904,10.509615384615385,9.542884615384615,9.432264150943396,8.16403846153846,7.137307692307692,6.63433962264151,6.409423076923077,6.059811320754717
591f578c51d34600116a8ea6,51.96422,7.645218,Wetterstation Erpho,591f578c51d34600116a8ea5,°C,12.98843137254902,13.045980392156864,13.035742574257425,12.526666666666667,12.759509803921569,12.878118811881189,13.234607843137255,13.257843137254902,12.662254901960784,12.513267326732672,12.679411764705883,14.754158415841585,17.255098039215685,16.915940594059407,16.410980392156862,16.239803921568626,15.470297029702971,14.454313725490195,12.819306930693068,11.513921568627453,11.461372549019607,10.41960396039604,9.77,9.216831683168317,8.73235294117647,7.985544554455445
599c9b80d67eb500118c6b60,51.954793,7.650543,wb132ms,599c9b80d67eb500118c6b5e,°C,11.316666666666668,11.735999999999999,11.695833333333333,11.674999999999999,12.004166666666668,12.325000000000001,12.708333333333334,12.708333333333334,11.804,11.529166666666667,11.583333333333334,12.85,13.950000000000001,14.595833333333333,14.595999999999998,14.466666666666667,14.420833333333334,13.683333333333332,12.820833333333333,11.6875,11.541666666666666,10.754166666666668,9.916,9.216666666666667,8.5625,7.7625
59c67b5ed67eb50011666dc0,51.946322,7.62677,kartoffelsalat,59c67b5ed67eb50011666dbb,°C,12.671666666666665,12.693833333333334,12.451666666666666,12.110333333333333,12.026,12.110000000000001,12.288499999999999,12.442692307692308,12.294090909090908,12.155833333333334,12.089545454545453,14.469999999999999,17.59413043478261,17.212241379310345,16.757321428571426,16.897166666666667,16.552666666666667,15.090172413793104,13.676315789473684,12.492833333333332,12.2325,11.223666666666666,10.044,9.103666666666667,8.236333333333333,7.5183333333333335
59dcdbb400190a00115d217b,51.958065,7.619512,Grünspar,59dcdbb400190a00115d2174,°C,12.077457627118646,12.250499999999999,12.649333333333335,11.883666666666667,12.110333333333333,12.293000000000001,12.665833333333333,12.826333333333334,12.7275,12.891666666666667,13.075999999999999,16.945333333333334,18.812333333333335,19.23483333333333,16.395500000000002,15.847666666666667,15.5885,14.414833333333332,12.949833333333334,11.9665,11.863166666666666,10.336,9.189166666666667,8.464333333333334,7.877166666666667,7.4075
5a0c15289fd3c200110f3d3a,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,°C,12.209166666666667,12.721186440677965,12.766166666666667,12.173333333333334,12.175,12.398166666666667,12.793166666666668,12.744166666666667,12.275,12.381166666666667,12.3645,13.281166666666667,14.781,15.367333333333333,15.17,15.289333333333333,15.1115,14.281666666666666,13.305333333333333,12.155666666666667,12.087666666666667,11.363833333333334,10.215666666666667,9.312000000000001,8.591666666666667,7.958666666666667
